name,generic_name,brand_name,barcode,category,dosage_strength,medicine_form,pack_size,buying_price,selling_price,current_stock,reorder_level,manufacturer,description,tax_rate,requires_prescription
Paracetamol 500mg,Paracetamol,Panadol,1234567890123,Analgesics,500mg,Tablet,10x10,1.50,3.00,500,100,GSK,Pain relief and fever reducer,0,no
Amoxicillin 250mg,Amoxicillin,Amoxil,1234567890124,Antibiotics,250mg,Capsule,10x10,2.50,5.50,300,50,Pfizer,Antibiotic for bacterial infections,0,yes
Ibuprofen 400mg,Ibuprofen,Advil,1234567890125,NSAID,400mg,Tablet,1x50,3.00,6.00,200,40,Johnson & Johnson,Anti-inflammatory pain killer,0,no
Cetirizine 10mg,Cetirizine Hydrochloride,Zyrtec,1234567890126,Antihistamines,10mg,Tablet,10x10,1.20,2.80,450,100,Sanofi,Allergy relief,0,no
Omeprazole 20mg,Omeprazole,Prilosec,1234567890127,Antacids,20mg,Capsule,3x10,4.00,8.50,150,30,AstraZeneca,Acid reflux treatment,0,yes
Vitamin C 1000mg,Ascorbic Acid,Redoxon,1234567890128,Vitamins,1000mg,Effervescent,1x15,2.00,4.50,600,120,Bayer,Immune system support,0,no
Metformin 500mg,Metformin Hydrochloride,Glucophage,1234567890129,Antidiabetics,500mg,Tablet,5x10,3.50,7.00,250,50,Merck,Type 2 diabetes medication,0,yes
Amlodipine 5mg,Amlodipine Besylate,Norvasc,1234567890130,Antihypertensives,5mg,Tablet,3x10,2.80,6.20,180,40,Pfizer,Blood pressure medication,0,yes
Loratadine 10mg,Loratadine,Claritin,1234567890131,Antihistamines,10mg,Tablet,1x30,3.20,7.50,320,60,Bayer,Non-drowsy allergy relief,0,no
Salbutamol Inhaler,Salbutamol,Ventolin,1234567890132,Bronchodilators,100mcg,Inhaler,1x200doses,5.00,12.00,100,20,GSK,Asthma relief inhaler,0,yes
